id	name	artist	credit	type	source	tags
000.png	Retro Dead			still	official	retro, dead, rip
001.png	Dead			still	official	bounty, hunter, dead, rip
002.png	Map			still	official	bounty, hunter, map, read, lost
003.png	Run			still	official	bounty, hunter, run, running, away, sprint
004.png	Despair			still	official	bounty, hunter, despair, dispair, loss
005.png	Nerd			still	official	bounty, hunter, nerd, actually, ackchyually
006.png	Ship			still	official	bounty, hunter, ships, boat, sail
007.png	Sweat			still	official	bounty, hunter, sweating
008.png	Awake			still	official	dad, doge
009.png	Huh			still	official	dad, doge, concern, wuh, what
010.png	Wink			still	official	dad, doge, cute, flirt, rizz
011.png	Woof			still	official	dad, doge, bork, bark
012.png	Bliss			still	official	dad, doge, sleep, tired
013.png	Chaos			still	official	retro, fire, evil
014.png	Hey			still	official	retro, wave, hi, hello
015.png	Smug			still	official	tomato, hehe
016.png	Idea			still	official	retro, light, bulb
017.png	Skinsuit			still	official	retro, tomato, reveal
018.png	Cheer			still	official	dragoon, light, sticks, rave, rooting
019.png	Heh			still	official	retro
020.png	Scared			still	official	retro, ahhh, fright, shock
021.png	Comfy			still	official	retro, blanket, sleepy, tired
022.png	Stonks			still	official	retro, stock, market, money, graph
023.png	Thumbsup			still	official	dragoon, okay, yes, sure
024.png	Slap			still	official	dragoon, retro, hit, bonk, bad
025.png	Pout			still	official	retro, puff
026.png	Shy			still	official	retro, tomato, horny, lewd, red
027.png	RIP			still	official	retro, dead
028.png	Noted			still	official	retro, notes, book, notebook
029.png	Retro Clap			still	official	retro, clapping
030.png	Clap			still	official	bounty, hunter, clapping
031.png	Chicken			still	official	dad, doge, eat, feed, meal, meat
032.png	Laugh			still	official	bounty, hunter, laughing, haha
033.png	Monkey			still	official	bounty, hunter, monke, banana
034.png	Cry			still	official	bounty, hunter, crying, tears, sad
035.png	Retro Laugh			still	official	retro, laughing, haha
036.png	Retro Heart			still	official	retro, heart, dokidoki, love
037.png	Heart			still	official	bounty, hunter, heart, love
038.png	Buffering			still	official	bounty, hunter, waiting, loading
039.png	Gun			still	official	bounty, hunter, shooting, aiming, target
040.png	Money			still	official	dragoon, give, spend, merch
041.png	Point			still	official	bounty, hunter, look, pog
042.png	Wha			still	official	bounty, hunter, huh, what, confused, shocked
043.png	Bonk			still	official	retro, hammer, bad
044.png	Sword			still	official	bark, knight, barkknight
045.png	Read			still	official	dad, doge, glasses, text
046.png	Insane Open			still	official	retro, smile, crazy
047.png	Stare			still	official	dad, doge, look, judging
048.png	Retro Cry			still	official	retro, loss, sad, tears
049.png	Pien			still	official	bounty, hunter, loss, sad
050.png	Blind			still	official	bounty, hunter, lost
051.png	Insane Closed			still	official	retro, smile, crazy
052.png	Retro Spray			still	official	retro, water, bottle, bad
053.png	Spray			still	official	bounty, hunter, water, bottle, bad
054.png	Rat			still	official	bounty, hunter, mouse
055.gif	Monkey Run			animated	official	bounty, hunter, monke, banana, running
056.png	Dance			still	official	bounty, hunter, jam, music, song
057.gif	Monkey Spin			animated	official	bounty, hunter, monke, banana, spinning
058.png	Disgust			still	official	bounty, hunter, tired, really, dead
059.png	Caught			still	official	bounty, hunter, camera, capture, 4k
060.png	Hmm			still	official	bounty, hunter, thinking
061.png	Smirk			still	official	retro, heh, brat, smug
062.png	DAD Gun			still	official	dad, doge, gun, bang
063.gif	Clapping			animated	official	bounty, hunter, clap
064.gif	Cheering			animated	official	dragoon, light, sticks, rave, rooting
065.gif	Running			animated	official	bounty, hunter, run, running, away, sprint
066.gif	Spraying			animated	official	bounty, hunter, water, bottle, bad
067.gif	Take My Money			animated	official	dragoon, give, spend, merch
068.gif	Take My Money AAAAAA			animated	official	dragoon, give, spend, merch, crazy
069.png	Lick			still	official	bark, knight, tongue, barkknight
070.png	Feet			still	official	bark, knight, foot, barkknight
071.png	Ban Hammer			still	official	retro, wack, bad
072.gif	Slash Right			animated	official	dad, doge, sword, attack
073.gif	Slash Left			animated	official	dad, doge, sword, attack
074.png	Sparkle Blush			still	official	retro, smile, cheeks, happy
075.gif	xD			animated	official	retro, smile, blush, happy
076.png	Cool			still	official	retro, glasses, sunglasses, rad
077.gif	Dance			animated	official	retro, cheer, yay
078.gif	Sparkle Blushing			animated	official	retro, smile, cheeks, happy
079.png	Brat			still	official	retro, smirk, heh
080.gif	Twirl			animated	official	retro, spinning, santa, christmas
081.png	Head Pat			still	official	retro, okay, cheer up,
082.gif	Head Patting			animated	official	retro, okay, cheer up,
083.png	Smile			still	official	retro, smile, happy, ready
084.png	Question			still	official	retro, mark, confused, wonder
085.png	Scared			still	official	retro, spooked, fright, dread
086.gif	Dance			animated	official	retro, jam, wiggle
087.png	Cry xD			still	official	retro, tears, sad
088.png	Smug			still	official	retro, smirk, heh
089.png	Joy			still	official	retro, sparkle, happy, excited
090.gif	Scared			animated	official	retro, spooked, fright, dread
091.gif	Question			animated	official	retro, mark, confused, wonder
092.png	Shy			still	official	retro, uwu
093.png	Win			still	official	champion, victory, best
094.gif	Shy			animated	official	retro, uwu
095.png	xD			still	official	retro, smile, blush, happy
096.gif	Cool			animated	official	retro, glasses, sunglasses, rad
097.png	Sus			still	official	bounty, hunter, I know, what you are
098.png	Mad			still	official	dragoon, why, angry
