id	name	artist	credit	type	source	tags
000.png	Retro Dead	Posu @posuegg	https://x.com/posuegg/status/1764787247788785996	still	official	retro, deadinside, rip
001.png	Dead	Maerie @maeriette	https://x.com/maeriette/status/1808961550318760075	still	official	bounty, hunter, dead, rip
002.png	Map	Maerie @maeriette	https://x.com/maeriette/status/1808961550318760076	still	official	bounty, hunter, map, read, lost
003.png	Run	Maerie @maeriette	https://x.com/maeriette/status/1808961550318760077	still	official	bounty, hunter, run, running, away, sprint
004.png	Despair	Maerie @maeriette	https://x.com/maeriette/status/1808961550318760078	still	official	bounty, hunter, despair, dispair, loss
005.png	Nerd	Maerie @maeriette	https://x.com/maeriette/status/1808961550318760079	still	official	bounty, hunter, nerd, actually, ackchyually
006.png	Ship	klaeia @_klaeia	https://x.com/_klaeia/status/1807254715580985746	still	official	bounty, hunter, ships, boat, sail
007.png	Sweat	hani @snuzuzu	https://x.com/snuzuzu/status/1859460993480356191	still	official	bounty, hunter, sweating
008.png	Awake	Dokibird @Dokibird		still	official	dad, doge
009.png	Huh	Dokibird @Dokibird		still	official	dad, doge, concern, wuh, what
010.png	Wink	Dokibird @Dokibird	https://x.com/dokibird/status/1200858410448605185	still	official	dad, doge, cute, flirt, rizz
011.png	Woof	Dokibird @Dokibird		still	official	dad, doge, bork, bark
012.png	Bliss	Dokibird @Dokibird		still	official	dad, doge, sleep, tired
013.png	Chaos	Inky @inky1vory	https://x.com/inky1vory/status/1764492746784727317	still	official	retro, fire, evil
014.png	Hey	Fela @felanorart	https://x.com/Felanorart/status/1764518010297946320	still	official	retro, wave, hi, hello
015.png	Smug	Posu @posuegg	https://x.com/posuegg/status/1764787247788785996	still	official	tomato, hehe
016.png	Idea	XanaduAvici @XanadauAvici	https://x.com/XanaduAvici/status/1826883714812416414	still	official	retro, light, bulb
017.png	Skinsuit	Posu @posuegg	https://x.com/posuegg/status/1764787247788785996	still	official	retro, tomato, reveal, peel
018.png	Cheer	KiFé @kifecreations		still	official	dragoon, light, sticks, rave, rooting
019.png	Heh	KiFé @kifecreations		still	official	retro
020.png	Scared	Hinatsu_sd @Hinatsu_sd		still	official	retro, ahhh, fright, shock
021.png	Comfy	Fela @felanorart	https://x.com/Felanorart/status/1764518010297946320	still	official	retro, blanket, sleepy, tired
022.png	Stonks	XanaduAvici @XanadauAvici	https://x.com/XanaduAvici/status/1826883714812416414	still	official	retro, stock, market, money, graph
023.png	Thumbsup	KiFé @kifecreations		still	official	dragoon, okay, yes, sure
024.png	Slap	Fela @felanorart	https://x.com/Felanorart/status/1764518010297946320	still	official	dragoon, retro, hit, bonk, bad
025.png	Pout	XanaduAvici @XanadauAvici	https://x.com/XanaduAvici/status/1826883714812416414	still	official	retro, puff
026.png	Shy	Hinatsu_sd @Hinatsu_sd	https://x.com/hinatsu_sd/status/1765113050548568177	still	official	retro, tomato, horny, lewd, red
027.png	RIP	Posu @posuegg	https://x.com/posuegg/status/1764787247788785996	still	official	retro, dead
028.png	Noted	Fela @felanorart	https://x.com/Felanorart/status/1764518010297946320	still	official	retro, notes, book, notebook
029.png	Retro Clap	Posu @posuegg	https://x.com/posuegg/status/1764787247788785996	still	official	retro, clapping
030.png	Clap	ThatLazyRat @ThatLazyRat		still	official	bounty, hunter, clapping
031.png	Chicken	ThatLazyRat @ThatLazyRat		still	official	dad, doge, eat, feed, meal, meat
032.png	Laugh	ThatLazyRat @ThatLazyRat		still	official	bounty, hunter, laughing, haha
033.png	Monkey	ThatLazyRat @ThatLazyRat		still	official	bounty, hunter, monke, banana
034.png	Cry	ThatLazyRat @ThatLazyRat		still	official	bounty, hunter, crying, tears, sad
035.png	Retro Laugh	8KO @hachee_ko		still	official	retro, laughing, haha
036.png	Retro Heart	8KO @hachee_ko		still	official	retro, heart, dokidoki, love
037.png	Heart	ThatLazyRat @ThatLazyRat		still	official	bounty, hunter, heart, love
038.png	Buffering			still	official	bounty, hunter, waiting, loading
039.png	Gun			still	official	bounty, hunter, shooting, aiming, target
040.png	Money			still	official	dragoon, give, spend, merch
041.png	Point			still	official	bounty, hunter, look, pog
042.png	Wha			still	official	bounty, hunter, huh, what, confused, shocked
043.png	Bonk	8KO @hachee_ko		still	official	retro, hammer, bad
044.png	Sword	Dokibird @Dokibird		still	official	bark, knight, barkknight
045.png	Read	Dokibird @Dokibird		still	official	dad, doge, glasses, text
046.png	Insane Open	8KO @hachee_ko		still	official	retro, smile, crazy
047.png	Stare	Dokibird @Dokibird		still	official	dad, doge, look, judging
048.png	Retro Cry	XanaduAvici @XanadauAvici	https://x.com/XanaduAvici/status/1826883714812416414	still	official	retro, loss, sad, tears
049.png	Pien	hani @snuzuzu	https://x.com/snuzuzu/status/1859460993480356191	still	official	bounty, hunter, loss, sad
050.png	Blind	klaeia @_klaeia	https://x.com/_klaeia/status/1807254715580985746	still	official	bounty, hunter, lost
051.png	Insane Closed	8KO @hachee_ko		still	official	retro, smile, crazy
052.png	Retro Spray	Posu @posuegg	https://x.com/posuegg/status/1764787247788785996	still	official	retro, water, bottle, bad
053.png	Spray	klaeia @_klaeia	https://x.com/_klaeia/status/1807254715580985746	still	official	bounty, hunter, water, bottle, bad
054.png	Rat	klaeia @_klaeia	https://x.com/_klaeia/status/1807254715580985746	still	official	bounty, hunter, mouse
055.gif	Monkey Run	Subwuf @subwuf	https://x.com/dokibird/status/1844596424228364674	animated	official	bounty, hunter, monke, banana, running
056.png	Dance	klaeia @_klaeia	https://x.com/_klaeia/status/1807254715580985746	still	official	bounty, hunter, jam, music, song
057.gif	Monkey Spin	Subwuf @subwuf	https://x.com/dokibird/status/1844596424228364674	animated	official	bounty, hunter, monke, banana, spinning
058.png	Disgust	hani @snuzuzu	https://x.com/snuzuzu/status/1859460993480356191	still	official	bounty, hunter, tired, really, dead
059.png	Caught	hani @snuzuzu	https://x.com/snuzuzu/status/1859460993480356191	still	official	bounty, hunter, camera, capture, 4k
060.png	Hmm	hani @snuzuzu	https://x.com/snuzuzu/status/1859460993480356191	still	official	bounty, hunter, thinking
061.png	Smirk	8KO @hachee_ko		still	official	retro, heh, brat, smug
062.png	DAD Gun	Dokibird @Dokibird		still	official	dad, doge, gun, bang
063.gif	Clapping	Subwuf @subwuf	https://x.com/dokibird/status/1844596424228364674	animated	official	bounty, hunter, clap
064.gif	Cheering	Subwuf @subwuf	https://x.com/dokibird/status/1844596424228364674	animated	official	dragoon, light, sticks, rave, rooting
065.gif	Running	Subwuf @subwuf	https://x.com/dokibird/status/1844596424228364674	animated	official	bounty, hunter, run, running, away, sprint
066.gif	Spraying	Subwuf @subwuf	https://x.com/dokibird/status/1844596424228364674	animated	official	bounty, hunter, water, bottle, bad
067.gif	Take My Money			animated	official	dragoon, give, spend, merch
068.gif	Take My Money AAAAAA			animated	official	dragoon, give, spend, merch, crazy
069.png	Lick	Dokibird @Dokibird		still	official	bark, knight, tongue, barkknight
070.png	Feet	Dokibird @Dokibird		still	official	bark, knight, foot, barkknight
071.png	Ban Hammer	KiFé @kifecreations		still	official	retro, wack, bad
072.gif	Slash Right			animated	official	dad, doge, sword, attack
073.gif	Slash Left			animated	official	dad, doge, sword, attack
