id	name	artist	credit	type	source	tags
000.png	Retro Dead	Posu @posuegg	https://twitter.com/posuegg/status/1764787247788785996	still	official	retro, deadinside, rip
001.png	Dead			still	official	bounty, hunter, dead, rip
002.png	Map			still	official	bounty, hunter, map, read, lost
003.png	Run			still	official	bounty, hunter, run, running, away, sprint
004.png	Despair			still	official	bounty, hunter, despair, dispair, loss
005.png	Nerd			still	official	bounty, hunter, nerd, actually, ackchyually
006.png	Ship			still	official	bounty, hunter, ships, boat, sail
007.png	Sweat			still	official	bounty, hunter, sweating
008.png	Awake	Dokibird @Dokibird		still	official	dad, doge
009.png	Huh	Dokibird @Dokibird		still	official	dad, doge, concern, wuh, what
010.png	Wink	Dokibird @Dokibird		still	official	dad, doge, cute, flirt, rizz
011.png	Woof	Dokibird @Dokibird		still	official	dad, doge, bork, bark
012.png	Bliss	Dokibird @Dokibird		still	official	dad, doge, sleep, tired
013.png	Chaos	Inky @inky1vory	https://twitter.com/inky1vory/status/1764492746784727317	still	official	retro, fire, evil
014.png	Hey	Fela @felanorart	https://twitter.com/Felanorart/status/1764518010297946320	still	official	retro, wave, hi, hello
015.png	Smug	Posu @posuegg	https://twitter.com/posuegg/status/1764787247788785996	still	official	tomato, hehe
016.png	Idea	XanaduAvici @XanadauAvici	https://twitter.com/XanaduAvici/status/1826883714812416414	still	official	retro, light, bulb
017.png	Skinsuit	Posu @posuegg	https://twitter.com/posuegg/status/1764787247788785996	still	official	retro, tomato, reveal, peel
018.png	Cheer	knife @kifecreations		still	official	dragoon, light, sticks, rave, rooting
019.png	Heh	knife @kifecreations		still	official	retro
020.png	Scared	Hinatsu_sd @Hinatsu_sd		still	official	retro, ahhh, fright, shock
021.png	Comfy	Fela @felanorart	https://twitter.com/Felanorart/status/1764518010297946320	still	official	retro, blanket, sleepy, tired
022.png	Stonks	XanaduAvici @XanadauAvici	https://twitter.com/XanaduAvici/status/1826883714812416414	still	official	retro, stock, market, money, graph
023.png	Thumbsup	knife @kifecreations		still	official	dragoon, okay, yes, sure
024.png	Slap	Fela @felanorart	https://twitter.com/Felanorart/status/1764518010297946320	still	official	dragoon, retro, hit, bonk, bad
025.png	Pout	XanaduAvici @XanadauAvici	https://twitter.com/XanaduAvici/status/1826883714812416414	still	official	retro, puff
026.png	Shy	Hinatsu_sd @Hinatsu_sd	https://twitter.com/hinatsu_sd/status/1765113050548568177	still	official	retro, tomato, horny, lewd, red
027.png	RIP	Posu @posuegg	https://twitter.com/posuegg/status/1764787247788785996	still	official	retro, dead
028.png	Noted	Fela @felanorart	https://twitter.com/Felanorart/status/1764518010297946320	still	official	retro, notes, book, notebook
029.png	Retro Clap	Posu @posuegg	https://twitter.com/posuegg/status/1764787247788785996	still	official	retro, clapping
030.png	Clap	ThatLazyRat @ThatLazyRat		still	official	bounty, hunter, clapping
031.png	Chicken	ThatLazyRat @ThatLazyRat		still	official	dad, doge, eat, feed, meal, meat
032.png	Laugh	ThatLazyRat @ThatLazyRat		still	official	bounty, hunter, laughing, haha
033.png	Monkey	ThatLazyRat @ThatLazyRat		still	official	bounty, hunter, monke, banana
034.png	Cry	ThatLazyRat @ThatLazyRat		still	official	bounty, hunter, crying, tears, sad
035.png	Retro Laugh			still	official	retro, laughing, haha
036.png	Retro Heart			still	official	retro, heart, dokidoki, love
037.png	Heart	ThatLazyRat @ThatLazyRat		still	official	bounty, hunter, heart, love
038.png	Buffering			still	official	bounty, hunter, waiting, loading
039.png	Gun			still	official	bounty, hunter, shooting, aiming, target
040.png	Money			still	official	dragoon, give, spend, merch
041.png	Point			still	official	bounty, hunter, look, pog
042.png	Wha			still	official	bounty, hunter, huh, what, confused, shocked
043.png	Bonk			still	official	retro, hammer, bad
044.png	Sword	Dokibird @Dokibird		still	official	bark, knight, barkknight
045.png	Read	Dokibird @Dokibird		still	official	dad, doge, glasses, text
046.png	Insane Open			still	official	retro, smile, crazy
047.png	Stare	Dokibird @Dokibird		still	official	dad, doge, look, judging
048.png	Retro Cry	XanaduAvici @XanadauAvici	https://twitter.com/XanaduAvici/status/1826883714812416414	still	official	retro, loss, sad, tears
049.png	Pien			still	official	bounty, hunter, loss, sad
050.png	Blind			still	official	bounty, hunter, lost
051.png	Insane Closed			still	official	retro, smile, crazy
052.png	Retro Spray	Posu @posuegg	https://twitter.com/posuegg/status/1764787247788785996	still	official	retro, water, bottle, bad
053.png	Spray			still	official	bounty, hunter, water, bottle, bad
054.png	Rat			still	official	bounty, hunter, mouse
055.gif	Monkey Run			animated	official	bounty, hunter, monke, banana, running
056.png	Dance			still	official	bounty, hunter, jam, music, song
057.gif	Monkey Spin			animated	official	bounty, hunter, monke, banana, spinning
058.png	Disgust			still	official	bounty, hunter, tired, really, dead
059.png	Caught			still	official	bounty, hunter, camera, capture, 4k
060.png	Hmm			still	official	bounty, hunter, thinking
061.png	Smirk			still	official	retro, heh, brat, smug
062.png	DAD Gun	Dokibird @Dokibird		still	official	dad, doge, gun, bang
063.gif	Clapping			animated	official	bounty, hunter, clap
064.gif	Cheering			animated	official	dragoon, light, sticks, rave, rooting
065.gif	Running			animated	official	bounty, hunter, run, running, away, sprint
066.gif	Spraying			animated	official	bounty, hunter, water, bottle, bad
067.gif	Take My Money			animated	official	dragoon, give, spend, merch
068.gif	Take My Money AAAAAA			animated	official	dragoon, give, spend, merch, crazy
069.png	Lick	Dokibird @Dokibird		still	official	bark, knight, tongue, barkknight
070.png	Feet	Dokibird @Dokibird		still	official	bark, knight, foot, barkknight
071.png	Ban Hammer	knife @kifecreations		still	official	retro, wack, bad
072.gif	Slash Right			animated	official	dad, doge, sword, attack
073.gif	Slash Left			animated	official	dad, doge, sword, attack
074.png	Sparkle Blush			still	official	retro, smile, cheeks, happy
075.gif	xD			animated	official	retro, smile, blush, happy
076.png	Cool			still	official	retro, glasses, sunglasses, rad
077.gif	Dance			animated	official	retro, cheer, yay
078.gif	Sparkle Blushing			animated	official	retro, smile, cheeks, happy
079.png	Gasp	Posu @posuegg	https://twitter.com/posuegg/status/1756205922177659319	still	official	retro, smirk, shock
080.gif	Twirl			animated	official	retro, spinning, santa, christmas
081.png	Head Pat			still	official	retro, okay, cheer up
082.gif	Head Patting			animated	official	retro, okay, cheer up
083.png	Pose	Posu @posuegg	https://twitter.com/posuegg/status/1756205922177659319	still	official	retro, smile, happy, ready
084.png	Question			still	official	retro, mark, confused, wonder
085.png	Scared			still	official	retro, spooked, fright, dread
086.gif	Dance			animated	official	retro, jam, wiggle
087.png	Cry xD			still	official	retro, tears, sad
088.png	Smug	Posu @posuegg	https://twitter.com/posuegg/status/1756205922177659319	still	official	retro, smirk, heh
089.png	Wow	Posu @posuegg	https://twitter.com/posuegg/status/1764787247788785996	still	official	retro, sparkle, happy, excited, surprised
090.gif	Scared			animated	official	retro, spooked, fright, dread
091.gif	Question			animated	official	retro, mark, confused, wonder
092.png	Shy			still	official	retro, uwu
093.png	Win	Posu @posuegg	https://twitter.com/posuegg/status/1756205922177659319	still	official	champion, victory, best
094.gif	Shy			animated	official	retro, uwu
095.png	xD			still	official	retro, smile, blush, happy
096.gif	Cool			animated	official	retro, glasses, sunglasses, rad
097.png	Sus			still	official	bounty, hunter, I know, what you are
098.png	Mad			still	official	dragoon, why, angry
000.png	Derp	Fela @felanorart	https://twitter.com/Felanorart/status/1764518010297946320	still	fan-made	retro, dumb, oops
001.png	Dum	Fela @felanorart	https://twitter.com/Felanorart/status/1764518010297946321	still	fan-made	retro, dumb, oops
002.png	Mad	Fela @felanorart	https://twitter.com/Felanorart/status/1764518010297946322	still	fan-made	retro, angry, anger
003.png	Pensive	Fela @felanorart	https://twitter.com/Felanorart/status/1764518010297946323	still	fan-made	retro, think, sad
004.png	Point	Fela @felanorart	https://twitter.com/Felanorart/status/1764518010297946324	still	fan-made	retro, direction, this, over there
005.png	Stare	Fela @felanorart	https://twitter.com/Felanorart/status/1764518010297946325	still	fan-made	retro, look, you
006.png	Cheer	Hinatsu_sd @Hinatsu_sd		still	fan-made	retro, hooray, joy
007.png	Creep	Hinatsu_sd @Hinatsu_sd		still	fan-made	retro, really, bruh
008.png	Excited	Hinatsu_sd @Hinatsu_sd		still	fan-made	retro, explain, energy
009.png	Happy	Hinatsu_sd @Hinatsu_sd		still	fan-made	retro, smile
010.png	Hehe	Hinatsu_sd @Hinatsu_sd		still	fan-made	retro, funny
011.png	Ponder	Hinatsu_sd @Hinatsu_sd		still	fan-made	retro, thinking, wonder, thought
012.png	Smuggy	Hinatsu_sd @Hinatsu_sd		still	fan-made	retro, smug
013.png	Thumbs  Up	Hinatsu_sd @Hinatsu_sd		still	fan-made	retro, agree, ok, okay, sure, yes
014.png	Smug	Inky @inky1vory	https://twitter.com/inky1vory/status/1764492746784727317	still	fan-made	retro, smile
015.png	Jkterjter	knife @kifecreations		still	fan-made	retro, meme, funny, joke
016.png	Nervous Laugh	knife @kifecreations		still	fan-made	retro, shrug
017.png	Snuggly	knife @kifecreations		still	fan-made	retro, comfy, blanket, snug
018.png	Cross	XanaduAvici @XanadauAvici	https://twitter.com/XanaduAvici/status/1826883714812416414	still	fan-made	retro, scared, christ, exorcist
019.png	Drewl	XanaduAvici @XanadauAvici	https://twitter.com/XanaduAvici/status/1826883714812416415	still	fan-made	retro, lewd, horny, heart eyes, love, blush
020.png	Dumdum	XanaduAvici @XanadauAvici	https://twitter.com/XanaduAvici/status/1826883714812416416	still	fan-made	retro, dumb, idiot, spongebob, patrick
021.png	Hah	XanaduAvici @XanadauAvici	https://twitter.com/XanaduAvici/status/1826883714812416417	still	fan-made	retro, insane, evil, laugh
022.png	Ketchup	XanaduAvici @XanadauAvici	https://twitter.com/XanaduAvici/status/1826883714812416418	still	fan-made	retro, release, horny, lewd
023.png	Read	XanaduAvici @XanadauAvici	https://twitter.com/XanaduAvici/status/1826883714812416419	still	fan-made	retro, scared, reading, wtf
